,Neuron 1,Neuron 2,Neuron 3,Neuron 4,Neuron 5,Neuron 6,Neuron 7,Neuron 8,Neuron 9,Neuron 10,Neuron 11,Neuron 12,Neuron 13,Neuron 14,Neuron 15,Neuron 16,Neuron 17,Neuron 18
Feature 1,0.0054,0.1148,0.7625,0.2856,0.2908,0.4149,-0.1406,0.4583,0.4918,0.5757,0.2482,-0.4767,-0.1368,0.2147,0.7141,-0.2541,-0.6108,-0.3756
Feature 2,0.0753,-0.058,-0.1102,0.1676,0.0484,0.1703,0.1212,0.0897,-0.1975,0.0765,-0.1151,0.007,-0.1632,0.0285,0.1111,-0.154,-0.1089,-0.0177
Feature 3,-0.1473,-0.6012,-0.4947,-0.5546,0.1023,-1.0559,-0.2007,0.7431,0.0229,0.054,0.4106,-0.5488,0.5667,0.0378,0.1703,0.5959,0.6487,0.1207
Feature 4,0.0247,0.1896,0.0193,0.0379,0.0454,-0.0666,0.1462,-0.0515,0.1108,-0.0214,0.0779,0.0576,-0.0042,-0.0027,-0.0152,-0.0218,0.011,0.0135
Feature 5,-0.1449,-0.1577,0.238,-0.1954,-0.504,0.1773,-0.108,0.0623,0.2078,0.0493,0.1954,-0.1899,0.2115,0.169,0.0831,0.226,0.0484,0.0543
Feature 6,-0.3422,0.1853,-0.0491,0.7429,0.0542,0.0119,-0.0891,0.0868,-0.0173,0.9455,-0.0781,-0.0256,0.3187,-0.5903,-0.9725,-0.6743,-0.0199,0.5746
